"","tailnum","Count"
"1","N821AW",1326
"2","N847UA",1286
"3","N619AW",1306
"4","N521JB",1464
"5","N627AW",1401
"6","N826UA",1199
"7","N486UA",1221
"8","N456UA",1213
"9","N415UA",1183
"10","N831UA",1300
"11","N826AW",1330
"12","N335NW",415
"13","N446UA",1136
"14","N748UW",1493
"15","N848UA",1371
"16","N662AW",1430
"17","N316NB",1191
"18","N657AW",1379
"19","N812UA",1282
"20","N320NB",1237
"21","N341NW",368
"22","N335NB",1321
"23","N626AW",1397
"24","N480UA",1283
"25","N653AW",1314
"26","N312US",1107
"27","N814AW",1297
"28","N709UW",1192
"29","N326NB",1351
"30","N473UA",1258
"31","N503JB",1393
"32","N408UA",1043
"33","N330NB",1313
"34","N471UA",1261
"35","N820UA",1204
"36","N811UA",1258
"37","N337NW",1288
"38","N467UA",1290
"39","N369NW",1279
"40","N363NW",1345
"41","N314NB",1268
"42","N833UA",1355
"43","N324US",973
"44","N182UW",1268
"45","N711UW",1277
"46","N169UW",1217
"47","N344NW",672
"48","N336NB",1232
"49","N832AW",1330
"50","N448UA",1177
"51","N757UW",1915
"52","N819UA",1257
"53","N805AW",1302
"54","N658AW",1375
"55","N324NB",1385
"56","N327NW",1195
"57","N836UA",1355
"58","N304US",1183
"59","N465UA",1252
"60","N834UA",1288
"61","N439UA",1207
"62","N370NW",1315
"63","N488UA",1244
"64","N464UA",1210
"65","N454UA",1260
"66","N332NW",1295
"67","N316US",1108
"68","N651AW",1369
"69","N435UA",1216
"70","N703UW",1009
"71","N411UA",1131
"72","N179UW",1282
"73","N311US",1197
"74","N850UA",1296
"75","N342NW",1178
"76","N430UA",1189
"77","N534JB",1534
"78","N431UA",1162
"79","N724UW",1535
"80","N339NW",384
"81","N839UA",1360
"82","N333NW",1312
"83","N517JB",1504
"84","N801UA",1299
"85","N825UA",1276
"86","N320US",664
"87","N328NB",1325
"88","N105UW",1392
"89","N632AW",1257
"90","N509JB",1508
"91","N326US",1249
"92","N816UA",1238
"93","N305US",1132
"94","N482UA",1254
"95","N842UA",1381
"96","N770UW",1418
"97","N805UA",1287
"98","N487UA",1267
"99","N330NW",1195
"100","N328NW",1035
"101","N372NW",1352
"102","N444UA",1217
"103","N419UA",1211
"104","N740UW",1464
"105","N655AW",1395
