"","tailnum","Count"
"1","N197DN",296
"2","N176DN",268
"3","N993AT",2104
"4","N73275",591
"5","N938UA",1422
"6","N612DL",948
"7","N643UA",260
"8","N26226",806
"9","N603DL",1145
"10","N631AA",676
"11","N592UA",1048
"12","N16732",788
"13","N24212",813
"14","N154AW",1551
"15","N918UA",1675
"16","N990AT",2069
"17","N58101",598
"18","N406US",1749
"19","N615AS",1254
"20","N41135",598
"21","N139DL",1291
"22","N913UA",1735
"23","N577UA",934
"24","N623AS",1271
"25","N942AT",2118
"26","N651DL",1138
"27","N24736",834
"28","N373UA",1527
"29","N677DL",1161
"30","N920AT",1747
"31","N365UA",1184
"32","N756AS",1366
"33","N552NW",1159
"34","N903AW",1042
"35","N14214",806
"36","N693DL",1258
"37","N643AA",856
"38","N391AA",320
"39","N68061",244
"40","N10323",1112
"41","N967AT",2074
"42","N1501P",305
"43","N3738B",1584
"44","N17105",1005
"45","N783UA",191
"46","N131DN",1336
"47","N334UA",1315
"48","N551NW",1122
"49","N574UA",1039
"50","N23721",744
"51","N796UA",151
"52","N68160",180
"53","N531AU",1954
"54","N3764D",1288
"55","N392DA",1215
"56","N16618",1156
"57","N982AT",2074
"58","N3753",1345
"59","N774UA",278
"60","N332UA",1300
"61","N332AA",627
"62","N908AW",1016
"63","N608DA",1137
"64","N395DN",1849
"65","N780UA",273
"66","N624DL",1150
"67","N612AS",1332
"68","N17122",948
"69","N573UA",973
"70","N959AT",2093
"71","N535US",1075
"72","N17245",844
"73","N651UA",253
"74","N1610D",347
"75","N440US",1451
"76","N14653",1103
"77","N173DN",282
"78","N961AT",2116
"79","N667UA",835
"80","N363AA",269
"81","N575UA",1040
"82","N623DL",1196
"83","N59053",255
"84","N37274",867
"85","N576UA",959
"86","N54711",769
"87","N517US",1140
"88","N24224",835
"89","N369UA",1239
"90","N910AW",1065
"91","N658UA",278
"92","N675DL",1200
"93","N935UA",1384
"94","N13718",739
"95","N484HA",500
"96","N336AA",624
"97","N135DL",1325
"98","N769UA",285
"99","N59338",1143
"100","N1402A",1331
"101","N17719",705
"102","N371AA",305
"103","N378UA",1433
"104","N476HA",507
"105","N177DZ",1246
"106","N609AS",1217
"107","N516AU",2018
