"","tailnum","Count"
"1","N417SW",1928
"2","N418SW",1934
"3","N423SW",1952
"4","N426SW",1982
"5","N427SW",2075
"6","N429SW",1989
"7","N430SW",2045
"8","N431SW",1968
"9","N432SW",1988
"10","N433SW",1976
"11","N435SW",2033
"12","N437SW",2038
"13","N438SW",2002
"14","N439SW",1995
"15","N440SW",1976
"16","N441SW",2016
"17","N442SW",2050
"18","N443SW",2042
"19","N445SW",1958
"20","N446SW",2023
"21","N447SW",2041
"22","N448SW",1889
"23","N449SW",2025
"24","N452SW",2093
"25","N453SW",1953
"26","N454SW",1918
"27","N455SW",1767
"28","N457SW",1597
"29","N459SW",1535
"30","N460SW",1249
"31","N461SW",1161
"32","N463SW",963
"33","N464SW",844
"34","N465SW",519
"35","N466SW",346
"36","N594SW",1935
"37","N595SW",1982
"38","N597SW",2013
"39","N629BR",1863
"40","N646BR",1941
"41","N649BR",1936
"42","N651BR",1908
"43","N654BR",1881
"44","N655BR",1863
"45","N659BR",2043
"46","N675BR",1951
"47","N680BR",1975
"48","N681BR",1196
"49","N682BR",1964
"50","N683BR",1992
"51","N684BR",2067
"52","N685BR",1770
"53","N686BR",2002
"54","N693BR",1165
"55","N698BR",1091
"56","N699BR",1110
"57","N706EV",1642
"58","N707EV",1613
"59","N708EV",1775
"60","N709BR",327
"61","N709EV",1671
"62","N710BR",342
"63","N710EV",1886
"64","N712EV",1739
"65","N713EV",1451
"66","N716EV",1524
"67","N717EV",1359
"68","N718EV",1169
"69","N719EV",1115
"70","N720EV",460
"71","N720SW",2033
"72","N833AS",2204
"73","N834AS",2139
"74","N835AS",2109
"75","N836AS",2063
"76","N837AS",2194
"77","N838AS",2274
"78","N839AS",2215
"79","N840AS",2198
"80","N841AS",2223
"81","N842AS",2070
"82","N843AS",2173
"83","N844AS",2131
"84","N845AS",2067
"85","N846AS",2044
"86","N847AS",2073
"87","N848AS",2156
"88","N849AS",2163
"89","N850AS",2215
"90","N851AS",2183
"91","N852AS",2250
"92","N853AS",2158
"93","N854AS",2183
"94","N855AS",2126
"95","N856AS",2248
"96","N857AS",2184
"97","N858AS",2076
"98","N859AS",2176
"99","N860AS",2185
"100","N861AS",2192
"101","N862AS",2173
"102","N863AS",2234
"103","N864AS",2175
"104","N865AS",2229
"105","N866AS",2202
"106","N867AS",2306
"107","N868AS",2195
"108","N869AS",2188
"109","N870AS",2230
"110","N871AS",2210
"111","N872AS",2264
"112","N873AS",1888
"113","N874AS",2170
"114","N875AS",2206
"115","N876AS",1796
"116","N877AS",2208
"117","N878AS",1727
"118","N879AS",2114
"119","N880AS",2143
"120","N881AS",1940
"121","N882AS",2000
"122","N883AS",1984
"123","N884AS",1886
"124","N885AS",1653
"125","N886AS",2113
"126","N889AS",1851
"127","N900EV",2197
"128","N901EV",2162
"129","N902EV",2184
"130","N903EV",2194
"131","N903SW",2010
"132","N904EV",2227
"133","N905EV",2250
"134","N905SW",1987
"135","N906EV",2236
"136","N906SW",2078
"137","N907EV",2196
"138","N907SW",2060
"139","N908EV",2166
"140","N908SW",2090
"141","N909EV",2186
"142","N909SW",2084
"143","N910EV",4
"144","N910SW",2167
"145","N912EV",5
"146","N912SW",2169
"147","N913EV",2126
"148","N913SW",2001
"149","N914EV",1752
"150","N915EV",2068
"151","N915SW",1981
"152","N916EV",1701
"153","N916SW",2118
"154","N917EV",1406
"155","N917SW",1983
"156","N918SW",2106
"157","N919EV",1400
"158","N919SW",2106
"159","N920EV",1171
"160","N920SW",2032
"161","N921EV",942
"162","N922EV",898
"163","N923EV",807
"164","N923SW",2176
"165","N924EV",841
"166","N924SW",2153
"167","N925EV",765
"168","N925SW",2081
"169","N926EV",585
"170","N926SW",2071
"171","N927EV",623
"172","N927SW",1998
"173","N928SW",2059
"174","N929SW",2086
"175","N930SW",2153
"176","N932SW",2134
"177","N934SW",2079
"178","N935SW",2042
"179","N936SW",2185
"180","N937SW",2118
"181","N938SW",2025
"182","N939SW",1976
"183","N941SW",2070
"184","N943SW",1729
"185","N944SW",1792
"186","N945SW",1671
"187","N946SW",1562
"188","N947SW",1361
"189","N948SW",1211
"190","N951SW",1429
"191","N952SW",1316
"192","N953SW",779
"193","N954SW",1145
"194","N955SW",1050
"195","N956SW",936
"196","N957SW",690
"197","N958SW",723
"198","N959SW",502
"199","N960SW",456
"200","N961SW",332
"201","N962SW",359
"202","N963SW",216
"203","N964SW",250
"204","N965SW",207
"205","N967SW",197
